Role,Skill,Count
Analyst Customer Routing,Django,0
Analyst Customer Routing,Docker,0
Analyst Customer Routing,Kubernetes,0
Analyst Customer Routing,AWS,0
Analyst Customer Routing,Azure,0
Analyst Customer Routing,GCP,0
Analyst Customer Routing,Git,0
Analyst Customer Routing,Linux,0
Analyst Customer Routing,React,0
Analyst Customer Routing,JavaScript,0
Analyst Customer Routing,TypeScript,0
Analyst Customer Routing,Node.js,0
Analyst Customer Routing,MongoDB,0
Analyst Customer Routing,PostgreSQL,0
Analyst Customer Routing,MySQL,0
Analyst Customer Routing,Redis,0
Analyst Customer Routing,Kafka,0
Analyst Customer Routing,Spark,0
Analyst Customer Routing,Airflow,0
Analyst Customer Routing,TensorFlow,0
Analyst Customer Routing,PyTorch,0
Analyst Customer Routing,Power BI,0
Analyst Customer Routing,Tableau,0
Analyst Customer Routing,GraphQL,0
Art Director Brand &amp; Concepts,AWS,1
Art Director Brand &amp; Concepts,Git,1
Art Director Brand &amp; Concepts,Python,0
Art Director Brand &amp; Concepts,SQL,0
Art Director Brand &amp; Concepts,Pandas,0
Art Director Brand &amp; Concepts,NumPy,0
Art Director Brand &amp; Concepts,FastAPI,0
Art Director Brand &amp; Concepts,Flask,0
Art Director Brand &amp; Concepts,Django,0
Art Director Brand &amp; Concepts,Docker,0
Art Director Brand &amp; Concepts,Kubernetes,0
Art Director Brand &amp; Concepts,Azure,0
Art Director Brand &amp; Concepts,GCP,0
Art Director Brand &amp; Concepts,Linux,0
Art Director Brand &amp; Concepts,React,0
Art Director Brand &amp; Concepts,JavaScript,0
Art Director Brand &amp; Concepts,TypeScript,0
Art Director Brand &amp; Concepts,Node.js,0
Art Director Brand &amp; Concepts,MongoDB,0
Art Director Brand &amp; Concepts,PostgreSQL,0
Art Director Brand &amp; Concepts,MySQL,0
Art Director Brand &amp; Concepts,Redis,0
Art Director Brand &amp; Concepts,Kafka,0
Art Director Brand &amp; Concepts,Spark,0
Art Director Brand &amp; Concepts,Airflow,0
Art Director Brand &amp; Concepts,TensorFlow,0
Art Director Brand &amp; Concepts,PyTorch,0
Art Director Brand &amp; Concepts,Power BI,0
Art Director Brand &amp; Concepts,Tableau,0
Art Director Brand &amp; Concepts,Excel,0
